twt,iline,xline,Seismic,cdp_x,cdp_y,Chaos,Dominant_Frequency,Gradient_Mag,Instantaneous_Bandwith,Instantaneous_Freq,Instantaneous_Quality,RMS,Sweetness,Envelope
500.0,2960,8622,-4.5884113,653923.1,367037.5,0.0759693,0.012128208,0.47221333,0.0,0.012128208,0.060641035,4.5971723,4.5884113,4.5884113
500.5,2960,8622,-4.5898164249999995,653923.1,367037.5,0.076026735,0.024793115125,0.47146797375,0.01367660375,0.014360430375,0.070189830625,4.5971071375,4.589817075,4.589817075
501.0,2960,8622,-4.59122155,653923.1,367037.5,0.07608417,0.03745802225,0.4707226175,0.0273532075,0.01659265275,0.07973862625,4.597041975,4.591222849999999,4.591222849999999
501.5,2960,8622,-4.592626675,653923.1,367037.5,0.076141605,0.050122929375,0.46997726125,0.04102981125,0.018824875124999998,0.089287421875,4.5969768125,4.592628625,4.592628625
502.0,2960,8622,-4.5940318,653923.1,367037.5,0.07619904,0.0627878365,0.469231905,0.054706415,0.021057097499999997,0.09883621749999999,4.59691165,4.5940344,4.5940344
502.5,2960,8622,-4.595436925,653923.1,367037.5,0.076256475,0.075452743625,0.46848654875,0.06838301875,0.023289319875,0.108385013125,4.5968464875,4.595440175,4.595440175
503.0,2960,8622,-4.596842049999999,653923.1,367037.5,0.07631391,0.08811765075,0.4677411925,0.0820596225,0.025521542249999998,0.11793380875,4.596781325,4.5968459500000005,4.5968459500000005
503.5,2960,8622,-4.598247175,653923.1,367037.5,0.07637134500000001,0.100782557875,0.46699583625,0.09573622625,0.027753764624999996,0.127482604375,4.5967161625,4.598251725,4.598251725
504.0,2960,8622,-4.5996523,653923.1,367037.5,0.07642878,0.113447465,0.46625048,0.10941283,0.029985987,0.1370314,4.596651,4.5996575,4.5996575
504.5,2960,8622,-4.6006005125,653923.1,367037.5,0.07650843875,0.106195821,0.46844374875,0.096484009625,0.033126560375,0.15434658375,4.596137124999999,4.6006056375,4.6006056375
505.0,2960,8622,-4.601548725,653923.1,367037.5,0.07658809750000001,0.098944177,0.47063701750000003,0.08355518925,0.03626713375,0.1716617675,4.595623249999999,4.601553775,4.601553775
505.5,2960,8622,-4.6024969375,653923.1,367037.5,0.07666775625,0.09169253299999999,0.47283028625,0.070626368875,0.039407707125,0.18897695125,4.595109375,4.6025019125,4.6025019125
506.0,2960,8622,-4.60344515,653923.1,367037.5,0.076747415,0.08444088899999999,0.47502355500000004,0.0576975485,0.0425482805,0.206292135,4.5945955,4.60345005,4.60345005
506.5,2960,8622,-4.6043933625,653923.1,367037.5,0.07682707375,0.077189245,0.47721682375,0.044768728125000004,0.045688853875000005,0.22360731875,4.594081624999999,4.6043981875,4.6043981875
507.0,2960,8622,-4.605341575,653923.1,367037.5,0.07690673249999999,0.069937601,0.4794100925,0.03183990775,0.04882942725,0.2409225025,4.59356775,4.605346325,4.605346325
507.5,2960,8622,-4.6062897875,653923.1,367037.5,0.07698639125,0.062685957,0.48160336125000003,0.018911087375,0.051970000625,0.25823768625,4.593053875,4.6062944625,4.6062944625
508.0,2960,8622,-4.607238,653923.1,367037.5,0.07706605,0.055434313,0.48379663,0.005982267,0.055110574,0.27555287,4.59254,4.6072426,4.6072426
508.5,2960,8622,-4.606144587499999,653923.1,367037.5,0.07713869675,0.062716908875,0.48571821625,0.017825979875000002,0.0548120395,0.273820755,4.591754562499999,4.6061534375,4.6061534375
